Question,Answer
How are companies shortlisted for campus drives?,"Companies are evaluated based on profile, package, and past recruitment success."
How do I apply for exchange programs?,Applications open in November; check International Office.
Can I access library resources 24/7?,Digital resources are available 24/7; physical library has set hours.
Are practical exams included in the exam schedule?,"Yes, practical/lab exams are held before theory exams."
Are classes held on Saturdays?,"Generally no, but some makeup classes may be scheduled on Saturdays."
When are course schedules released?,Course schedules for the upcoming semester are released 6 weeks in advance.
What is the honors GPA requirement?,a student must complete 20 extra credits beyond the regular coursework
Are there specialized training for core branches?,"Yes, branch-specific technical training is provided."
Is there a deadline for filing complaints?,File as soon as possible; preferably within 30 days of the incident.
Can I withdraw from a course mid-semester?,Course withdrawal is allowed until week 10 with a 'W' grade.
What is the enrollment deadline?,Admitted students must confirm enrollment within two weeks of offer.
When do I pay the admission fee?,Admission fee is due within 10 days of accepting the offer.
What is academic probation?,A warning status requiring GPA improvement; limits on extracurricular participation.
Is health insurance mandatory?,"Yes, all students must have valid health insurance."
What happens if I damage university property?,You'll be required to pay for damages and may face disciplinary action.
Are there mental health services?,"Yes, trained counselors are available; appointments can be booked."
What support is available for struggling students?,"Tutoring, academic coaching, and counseling services are available."
How large is the campus?,The campus spans over 100 acres with modern infrastructure.
Is there a textbook rental program?,Limited rentals available through library for some courses.
Can pre-final year students participate in placements?,"Only final year students are eligible for final placements, but pre-final students can do internships."
Are there mock placement drives?,"Yes, regular mock interviews and aptitude tests are conducted."
What if my personal information is incorrect?,Report to Registrar's office immediately with documents.
What assistive technology is available?,"Screen readers, voice recognition, magnification software, etc."
Can I rent equipment for projects?,"Yes, certain equipment can be borrowed from labs."
Can I take leave for mental health reasons?,"Yes, mental health is treated equally to physical health. Counselor documentation is required."
Is there a writing center?,"Yes, free writing assistance for all students."
Can sports participation affect attendance?,University-level sports participation is marked as present with prior approval.
What is the minimum duration for an internship?,Internships must be at least 8 weeks for credit.
How do I request a book purchase?,Submit book purchase requests through the library portal.
How do I network with alumni?,"Through alumni portal, LinkedIn, and alumni meet events."
Is there a hostel curfew?,"General curfew is 10:30 PM on weekdays, 11 PM on weekends."
Can packages be delivered to campus?,"Yes, to the central mail room; you'll be notified."
Does the university help with GRE/GMAT prep?,"Yes, prep courses and resources are available."
Do I need a permit to park on campus?,"Yes, vehicle registration and parking permits are mandatory."
Can I pay my fees in installments?,"Yes, installment plans are available. Contact the Finance office to set up a payment schedule."
What happens if I fall below 75% attendance?,You may be barred from taking the final exam and may need to repeat the course.
Can I organize events on campus?,"Yes, with prior approval from Student Affairs and following event guidelines."
What types of complaints can I file?,"Academic, administrative, harassment, discrimination, or facility issues."
Is there grade forgiveness for failed courses?,"Yes, retaking a course replaces the failing grade in GPA calculation."
What is the maximum credit limit?,Maximum credit load is 24 credits with dean's permission.
When are admission decisions released?,Decisions are typically released 6-8 weeks after the deadline.
What does student health insurance cover?,"Hospitalization, outpatient, emergencies; check policy details."
Can I transfer my refund to next semester's fees?,"Yes, you can request to apply your refund as credit toward future fees."
Are lab fees refundable?,Lab fees are refundable if you drop the course before the add/drop deadline.
What if I lose a library book?,You'll be charged replacement cost plus processing fee.
When can I view my grades?,Final grades are posted online within two weeks of exam completion.
Are there emergency drills?,"Yes, fire and evacuation drills conducted quarterly."
Are payment plans available for tuition?,"Yes, installment plans can be arranged through the Finance Office."
Can I access archives and special collections?,"Yes, by appointment with proper handling procedures."
How do I apply for Pass/Fail grading?,Declare P/F option during add/drop period through the registrar.
Is there orientation for new students?,"Yes, orientation week is held the week before classes begin."
Are there gender-neutral bathrooms?,"Yes, in several academic buildings."
When does placement training start?,Training programs begin from the 6th semester.
Is there training for higher studies (GRE/GATE)?,"Yes, we offer prep courses for competitive exams."
What if I disagree with my exam grade?,Request answer sheet review during the designated viewing period.
How do I apply for a makeup exam?,Submit an application with medical/emergency documentation within 3 days of the missed exam.
Can I use labs outside scheduled hours?,With instructor permission and lab manager approval.
Can alumni keep their student ID?,"No, ID cards must be surrendered at graduation; alumni cards are issued separately."
What vaccination records are required?,"TB test, MMR, and other vaccinations as per health department."
Can semester dates change?,Dates are fixed but may be adjusted for unforeseen circumstances.
When is the spring festival?,Our annual spring festival is held in March. Exact dates are announced in advance.
How many courses can I fail and still graduate?,All required courses must be passed; there's no limit on retakes.
Can I take graduate courses as an undergraduate?,High-performing undergraduates may take graduate courses with approval.
Are there additional fees beyond tuition?,"Yes, includes library, lab, sports, and development fees."
When are the semester breaks?,Winter break: December-January; Summer break: May-June.
How do I report internship completion?,Submit an internship completion report and supervisor evaluation to the Placement Cell.
What types of leave are available?,"Sick leave, casual leave, and academic leave are available."
What is the admission confirmation fee?,"A non-refundable fee of 25,000 to secure your seat."
What documents do I need to apply for certificates?,Valid ID card and filled application form.
When is the fee payment deadline?,Fee payment is due within 15 days of semester commencement.
Can I get placement in my preferred location?,Companies recruit for multiple locations; preferences are considered.
Do we have an incubation center?,"Yes, supporting student and alumni startups."
Is there an alumni network?,"Yes, an active alumni association with global chapters."
How do I access the library remotely?,Use your student credentials to access digital resources online.
Can I download full-text articles?,"Yes, from subscribed databases with student login."
Can I use someone else's ID card?,"No, using another's ID is a serious violation with disciplinary action."
Is the application fee refundable?,"No, application fees are non-refundable."
What is the typical class size?,"Varies by course; 30-60 for lectures, smaller for labs."
What are consequences of plagiarism?,Ranges from zero on assignment to expulsion depending on severity.
Can my scholarship be renewed each year?,"Yes, scholarships can be renewed if you maintain the required GPA and meet continuation criteria."
Can I take courses from other departments?,"Yes, elective courses can be taken from any department."
What happens if I damage hostel property?,You'll be charged for damages and may face disciplinary action.
Can I borrow from other university libraries?,"Yes, inter-library loan program available."
How much is the caution deposit?,"Caution deposit of 10,000 is refundable at graduation."
Can I repeat a course to improve my grade?,"Yes, you can repeat courses, and the higher grade replaces the lower one."
How do I start a new club?,Submit a proposal to Student Affairs with minimum 10 interested members.
How current is the library collection?,Regular additions; latest editions of textbooks and journals.
Is there a student discount card?,Student ID provides discounts at campus facilities.
What accessibility services are available?,"Note-taking, extended test time, accessible formats, assistive technology."
When is the exam timetable released?,Exam timetables are released 3-4 weeks before exams begin.
What is the refund policy if I withdraw from the university?,Refunds are processed according to our withdrawal policy. Check the Finance section for details.
How many companies visit for campus placements?,Approximately 150-200 companies participate in placement drives annually.
What if I can't afford the fees?,"Apply for financial aid, scholarships, or student loans."
How long do I have to complete an Incomplete?,Incompletes must be resolved within one semester or they become an F.
Is there a student government?,"Yes, we have an elected Student Council."
What payment methods are accepted for tuition fees?,"We accept bank transfer, online payment, debit/credit cards, and demand drafts."
Are internships mandatory for graduation?,"Yes, students must complete at least one internship to fulfill degree requirements."
Is there a deadline for scholarship applications?,Scholarship deadlines often coincide with admission deadlines.
What learning management system is used?,We use Moodle/Canvas for course management.
Can I cancel an approved leave?,"Yes, you can cancel through the portal if your plans change."
What is the placement percentage of our university?,Our placement rate consistently exceeds 85% for eligible students.
Is there financial aid for students with disabilities?,"Yes, we provide special financial assistance and support services for students with disabilities."
Do I need original documents for verification?,"Yes, bring originals for verification at the time of admission."
Are there document format requirements?,"Yes, documents must be PDF format, under 5MB each."
How do I change my major?,Submit a change of major form to the Academic Office before the deadline.
Is there support for substance abuse issues?,"Yes, confidential support and referral services available."
Can I do an internship during the semester?,Part-time internships are allowed with academic advisor approval.
What weeks are designated as exam preparation?,Week 16 is typically reserved for review and exam preparation.
Can I request expedited certificate processing?,Urgent requests may be accommodated with additional fee.
Who handles my complaint?,Depends on type; routed to appropriate department or committee.
Are there prerequisites for advanced courses?,"Yes, check course descriptions for prerequisite requirements."
When do classes resume after winter break?,"Classes resume on the date specified in the academic calendar, typically early January."
What payment methods work on campus?,"Cash, cards, and university prepaid card."
Can I submit documents after the deadline?,"Late submissions may be accepted with a late fee, subject to approval."
What ID is needed to enter campus at night?,Valid student/staff ID card required for entry.
How often is attendance updated in the portal?,Attendance is updated weekly on the student portal.
Are there any long weekends scheduled?,Check the academic calendar for long weekends created by bridge holidays.
How are plus and minus grades assigned?,Plus/minus grades may be used at instructor discretion within each range.
Is there a campus bookstore?,"Yes, selling textbooks, stationery, and university merchandise."
What is the summer semester schedule?,"Summer semester is optional, running 6-8 weeks from May to June."
Is placement training mandatory?,"Yes, all students must complete the mandatory training modules."
How do I request a fee refund?,Submit a refund request form through the student portal with supporting documents.
Can I form study groups?,"Yes, study groups are encouraged and can book library spaces."
Can I suggest improvements to campus?,"Yes, submit suggestions through the feedback portal."
What is the attendance requirement for lab courses?,Lab courses require 80% attendance due to their practical nature.
Are there consequences for repeated tardiness?,Excessive tardiness may result in attendance shortage and disciplinary warnings.
Are application fees refundable?,"No, application fees are non-refundable under any circumstances."
Can I appeal academic dismissal?,"Yes, appeals can be submitted to the Academic Standards Committee."
What information can I update in student records?,"Address, phone, emergency contacts via student portal."
When do placement drives begin?,Campus placements typically begin in August for final year students.
What if my transcripts are in another language?,Non-English documents must include certified translations.
Is there career counseling?,"Yes, the Career Services office provides counseling and resources."
Can I collect certificates on behalf of someone?,Only with proper authorization letter and ID proof.
What soft skills workshops are offered?,"Communication, leadership, teamwork, and professional etiquette."
When are exam results announced?,Results are typically declared within 3-4 weeks of exam completion.
Can I bring my own laptop?,"Yes, laptops are welcome; power outlets are available."
How long does leave approval take?,Leave requests are typically approved within 24-48 hours.
What happens after I file a complaint?,An investigation is conducted and you're updated on progress.
Can I submit documents in person?,"Yes, during office hours at the Admission Office."
What is a bonafide certificate?,It certifies your current student status at the university.
What happens if I miss the enrollment deadline?,Your admission offer may be revoked; contact admissions for extension.
Is there 3D printing available?,"Yes, at the Maker Space with trained supervision."
Can I reserve a study room?,"Yes, study rooms can be booked through the library system."
How long does it take for payments to reflect in my account?,Online payments typically reflect within 24-48 hours.
Can I get academic credit for my internship?,"Yes, internships can earn you 2-4 credits depending on duration and nature of work."
What's the acceptable similarity percentage?,"Generally under 15%, but varies by instructor."
What if I miss class due to university events?,Attendance for official university events is counted as present with proper authorization.
Is there Wi-Fi on campus?,"Yes, Wi-Fi is available across campus with student login."
Is there a code of conduct for students?,"Yes, all students must adhere to the Student Code of Conduct outlined in the handbook."
What are the visitor policies?,Visitors must register at the gate and cannot enter hostels.
What is the policy on academic integrity?,Students must submit original work and properly cite all sources.
How long are certificates valid?,Most certificates don't expire; transcripts show date of issue.
What safety training is required for labs?,Mandatory safety orientation before accessing labs.
Can I appeal a disciplinary action?,"Yes, appeals can be submitted to the Disciplinary Committee within 7 days."
Is there a reading week before exams?,"Yes, a one-week reading period is scheduled before final exams."
Can I take leave during exams?,Exam leave is only granted for medical emergencies with proper documentation.
Will I get a refund if I'm expelled for disciplinary reasons?,No refunds are provided for expulsions due to disciplinary violations.
Can I order food delivery to campus?,"Yes, delivery allowed to campus gates; must collect."
Are there scholarships for international students?,"Yes, we offer specific scholarships for international students based on merit and need."
Is there 24-hour food available?,One cafeteria operates 24/7 during academic sessions.
Is there a student newspaper?,"Yes, a monthly student-run newspaper covers campus news."
Does the university provide health insurance?,"Yes, group insurance is available for purchase."
What is a Pass/Fail option?,Some electives can be taken P/F; passing doesn't affect GPA.
How do I appeal a refund decision?,Submit a written appeal to the Finance Director within 15 days of the decision.
Are there any exceptions to the attendance policy?,Medical emergencies and official university duties are considered for exemptions.
Is there a technology transfer office?,"Yes, supporting commercialization of research innovations."
What roles are typically offered?,"Common roles include software developer, analyst, consultant, and management trainee."
Are there rolling admissions?,Some programs have rolling admissions; apply early for best consideration.
Can I update my photo on the ID card?,Photo updates are allowed once during your program with a fee.
What scholarships are available for undergraduate students?,"We offer merit-based, need-based, sports, and cultural scholarships. Visit the Finance office for details."
How long does complaint resolution take?,Most complaints are addressed within 7-15 days.
Can I choose my roommate?,"Roommate requests can be made during allocation, subject to availability."
How many days of leave can I take per semester?,"There's no fixed limit, but it must not affect your attendance requirement."
Can I take online courses for credit?,"Yes, approved online courses from partner institutions count toward your degree."
What if I miss the university bus?,Local transport and app-based cabs are available alternatives.
How do I report a security concern?,Contact campus security immediately or use emergency buttons.
When are student council elections held?,Elections are held annually in March.
Are hostels co-ed?,"No, hostels are gender-segregated."
Can I pay fees from an international bank account?,"Yes, international payments are accepted. Contact Finance for wire transfer details."
Do I need different approvals for different leave types?,All leave requests go through the same portal but may require different documentation.
How can I prepare for company interviews?,"Attend pre-placement talks, mock interviews, and skill development workshops."
What if I lost a required document?,Request duplicates from the issuing institution immediately.
Are thesis and dissertations available?,"Yes, institutional repository with past theses."
Are there ATMs on campus?,"Yes, ATMs from major banks are located in the student center."
How will I receive my refund?,Refunds are processed via bank transfer to your registered account.
Is there a mess facility?,"Yes, all hostels have mess facilities with multiple meal plans."
Can I sell back my textbooks?,"Yes, the bookstore has a buyback program."
Are there discounts with the student ID?,Some local businesses offer student discounts; check with vendors.
Is the campus well-lit at night?,"Yes, pathway lighting and security presence."
Can I change my program after applying?,Program change requests may be considered before admission decisions.
Is ragging prohibited on campus?,"Yes, ragging is strictly prohibited and punishable by law."
Are there subject librarians?,"Yes, subject specialists are available for research assistance."
Which companies recruit from our university?,"Top recruiters include TCS, Infosys, Deloitte, Amazon, Google, and many more."
What are the first-year tuition fees?,Tuition varies by program; check the fee structure on our website.
Are there information literacy workshops?,"Yes, regular sessions on research skills and tools."
What is included in hostel fees?,"Hostel fees cover accommodation, utilities, and basic amenities."
When can I start applying for internships?,Internship applications typically open in the 5th semester for undergraduate students.
How do I track my leave balance?,Your leave history and status are visible on the student portal.
When does the fall semester start?,Fall semester typically begins in early August.
How are scholarship recipients selected?,"Recipients are selected by a committee based on academic performance, extracurricular activities, and financial need."
Are there mock interviews?,"Yes, we conduct regular mock interviews with industry professionals."
Can alumni mentor current students?,"Yes, alumni mentorship program matches students with professionals."
Can I access lecture notes online?,"Yes, most instructors upload materials to LMS."
When do makeup exams take place?,Makeup exams are scheduled 1-2 weeks after regular exams.
What constitutes a disciplinary violation?,"Academic dishonesty, misconduct, harassment, and violation of campus rules."
What sustainability initiatives exist?,"Solar panels, rainwater harvesting, waste segregation, tree plantation."
What percentage of fees is refundable if I withdraw in the first week?,90% of fees are refundable if you withdraw within the first week.
Are there carpooling options?,Student-organized carpools are common; check notice boards.
Are there hackathons organized?,"Yes, multiple hackathons throughout the year."
Can I pay fees on behalf of another student?,"Yes, but you must provide the student's ID number and proper authorization."
Do I need certificates for internships?,"Yes, many companies require bonafide certificates."
Is the ID card required for exams?,"Yes, ID card is mandatory for exam hall entry."
Are there vending machines on campus?,"Yes, in most academic buildings and hostels."
What documents are required for admission?,"Transcripts, ID proof, photographs, recommendation letters, and entrance exam scores."
Can I pay using a scholarship check?,"Yes, scholarship checks can be submitted to the Finance office for fee payment."
Can students propose new holidays?,Holiday schedules are set by the Academic Council and cannot be changed by students.
Are textbooks provided or must I buy them?,Students purchase their own; library has reference copies.
How do I book a counseling appointment?,Through student portal or call counseling center.
Are there bus routes for nearby areas?,"Yes, multiple routes cover residential areas within 25 km radius."
Are there partnerships with foreign universities?,"Yes, MoUs with universities in USA, Europe, and Asia."
What is the speed limit on campus?,Speed limit is 20 km/h throughout campus for safety.
Can I transfer credits if I'm on probation?,Transfer credits are allowed but don't affect probationary status.
Can I join sports teams?,"Yes, tryouts are held at the start of each semester."
When is the application deadline?,Application deadlines vary by program; check the admission website.
What are the computer lab hours?,Computer labs are open 8 AM to 10 PM on weekdays.
How do I register for the internship program?,Register through the Placement Cell portal and attend the mandatory orientation session.
Can I withdraw a complaint?,"Yes, withdrawal requests can be submitted through the portal."
When is orientation for new students?,Orientation is held the week before classes begin.
Can I access online training resources?,"Yes, students have free access to learning platforms like Coursera and LinkedIn Learning."
Are there restrictions on political activities on campus?,Political activities are allowed but must be approved and conducted peacefully.
What if I break lab equipment?,Report immediately; costs assessed based on circumstances.
Can I defer my admission?,"Yes, deferral requests must be submitted with valid reasons."
Do companies offer international positions?,"Yes, several MNCs offer international postings based on performance."
What if the course I need is full?,Join the waitlist or contact the department for possible section additions.
How is GPA calculated?,GPA is total grade points divided by total credit hours attempted.
When is the annual cultural festival?,The main fest is held in February each year.
Can I get my transcript sent directly to universities?,"Yes, transcript dispatch service is available for a fee."
How do I report a maintenance issue?,Submit a ticket through the facilities portal.
What support does the university provide for finding internships?,"We provide resume workshops, mock interviews, and direct company connections."
Are there grade curves?,Curving is at instructor discretion; policies vary by department.
How do I update my emergency contact?,Through student portal under personal information.
Are there scholarships specifically for graduate students?,"Yes, we offer research assistantships, teaching assistantships, and graduate merit scholarships."
Is there tech support for personal devices?,Limited support; primarily for university accounts and systems.
Can I organize a fundraiser?,"Yes, with approval from Student Affairs and following guidelines."
Do fees increase each year?,Fees may be revised annually; increases are communicated in advance.
What happens if my GPA falls below 2.0?,You'll be placed on academic probation for one semester.
What if my course has a lab component?,Lab attendance is typically mandatory and separately evaluated.
What does an Incomplete (I) grade mean?,Incomplete is given for unfinished work due to valid reasons; must be completed.
What should I do if my payment fails?,Contact the Finance office immediately with your transaction reference number.
Can extra credit assignments improve my grade?,Extra credit is at instructor discretion and varies by course.
How do I update my billing information?,Log into the student portal and update your information under the Finance tab.
What happens if a holiday falls on Sunday?,The holiday is typically observed on the following Monday.
How do I report harassment?,Report to the Anti-Harassment Committee or Women's Cell immediately.
Can I take leave for job interviews?,"Yes, final year students can take leave for placement activities."
What is a certified true copy?,A copy attested by the issuing institution or notary public.
Can I graduate with a GPA below 2.0?,"No, a minimum 2.0 GPA is required for graduation."
Can I eat in the library?,Generally no; designated areas only.
Can I view my answer sheets?,"Yes, answer sheet viewing is allowed during the designated period after results."
What topics are covered in aptitude training?,"Quantitative aptitude, logical reasoning, verbal ability, and data interpretation."
Can I track my complaint status?,"Yes, tracking is available through the grievance portal."
Are there group therapy sessions?,"Yes, for stress management, anxiety, and other topics."
What if I have three exams in consecutive days?,You can apply for a clash exam if you have more than two exams in 24 hours.
When do final exams take place?,End-semester exams are conducted in the last two weeks of the semester.
Can I print documents in the library?,"Yes, printing services are available at nominal cost."
Is there a fine for late returns?,"Yes, ₹10 per day per book for late returns."
Can I defer my internship to next semester?,With valid reasons and department approval.
How is hostel security managed?,"24/7 security guards, CCTV surveillance, and biometric access."
How long is the exam period?,The exam period typically lasts 10-12 days.
What soft skills are emphasized?,"Communication, teamwork, leadership, and professional etiquette."
Can I ride a bicycle on campus?,"Yes, cycling is encouraged; helmets are recommended."
What documents do I need for sick leave?,A medical certificate from a registered practitioner is required.
What citation management tools are available?,"Mendeley, Zotero, EndNote access provided."
Can exam dates be rescheduled?,Individual reschedules are only for medical emergencies; exam schedule is fixed.
What documents do international students need?,"Passport, visa documents, financial proof, and academic transcripts."
What happens if my leave request is denied?,You can appeal to your department head with additional justification.
How do I track my refund status?,You can track your refund status through the Finance section of the student portal.
Are there research opportunities for undergraduates?,"Yes, students can work on research projects with faculty mentors."
What clubs and societies exist?,"Over 50 clubs including technical, cultural, literary, and social service."
Can I change my hostel room?,Room changes are considered at semester end based on availability.
What should I do if I witness ragging?,Report immediately to the Anti-Ragging Committee or call the helpline.
Can partial semester attendance be refunded?,Refunds are calculated on a pro-rata basis depending on when you withdraw.
Where is the campus located?,The main campus is located at [Address]. Check our website for directions.
How long is each semester?,Each semester is approximately 16 weeks of instruction plus exams.
Can visitors stay overnight in hostels?,"No, overnight visitors are not permitted."
How much does the bus service cost?,Annual bus pass costs vary by distance; check transport office.
How long is the ID card valid?,ID cards are valid for your entire program duration.
What are the official holidays this year?,Check the academic calendar on the website for the complete holiday list.
Are there sports facilities?,"Yes, we have cricket, football, basketball courts, and a gymnasium."
How is class rank determined?,Class rank is based on cumulative GPA among students in your year.
How many public holidays are there per semester?,Approximately 8-10 public holidays per semester.
What is the minimum attendance requirement?,Students must maintain at least 75% attendance in each course.
Can I patent my invention through the university?,"Yes, the university has an IP policy supporting student inventions."
Can I apply after the deadline?,Late applications may be considered on a case-by-case basis with a late fee.
How many copies can I request?,Multiple copies can be requested with appropriate fees.
Can I publish in the institutional repository?,"Yes, student research can be archived with faculty approval."
What is the student-faculty ratio?,Our ratio is approximately 15:1 for quality education.
Are there late payment penalties?,"Yes, late fee of 500 per day applies after the due date."
Can I get software licenses for personal laptops?,Some licenses available free through university agreements.
What percentage of students pursue higher studies?,Approximately 25-30% pursue masters or PhD.
Is the campus accessible by metro?,The nearest metro station is 5 km away; shuttle service available.
Is there a GPA requirement for internship eligibility?,A minimum GPA of 2.5 is required to participate in campus internship drives.
Can I carry my phone to the exam hall?,"No, electronic devices are strictly prohibited in exam halls."
Can I publish research papers as a student?,"Yes, with faculty guidance and university affiliation."
Can I be suspended for disciplinary reasons?,"Yes, serious violations can result in suspension or expulsion."
Can I get leave for family functions?,"Yes, casual leave can be granted for important family events."
Are all campus events accessible?,We strive for full accessibility; contact organizers in advance.
Can parents drop students inside campus?,Temporary visitor parking is available for drop-off/pick-up.
How do I apply for hostel accommodation?,Apply through the student portal during the admission process.
Are stipends mandatory for internships?,"Not mandatory, but encouraged; many unpaid opportunities for experience."
Can I attend classes from other sections?,With instructor permission if space available.
Are electric vehicle charging stations available?,"Yes, EV charging points are available in main parking areas."
Are provisional certificates issued?,"Yes, provisional certificates are issued before final degree."
What if I have a family emergency?,Notify your department immediately and submit relevant documents upon return.
How many journals can I access?,Thousands of e-journals and databases subscription.
What is the application fee?,"Application fee is 1,500 for domestic and $50 for international applicants."
How many courses can I take per semester?,Students typically take 5-6 courses per semester (15-18 credits).
Is financial aid available for study abroad?,Limited scholarships are available for exchange students.
Are there accessible housing options?,"Yes, specially equipped rooms available in hostels."
Can I stay in the hostel during breaks?,Hostels close during semester breaks except for international students with special permission.
Can I get extensions on assignments?,At professor's discretion for valid reasons with documentation.
Can I load money on my student ID?,"Yes, works as prepaid card for campus transactions."
